time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-03-23T00:08:03.883Z,40.0812,20.9636,10,4.4,mb,,53,1.17,0.79,us,us6000dvl1,2021-03-23T03:22:48.683Z,"Greece-Albania border region",earthquake,6,2,0.131,17,reviewed,us,us
2021-03-22T23:55:15.020Z,35.9711685,-120.5216675,10.88,2.79,md,38,85,0.02545,0.07,nc,nc73538636,2021-03-23T15:04:17.255Z,"12km NW of Parkfield, CA",earthquake,0.19,0.25,0.11,45,automatic,nc,nc
2021-03-22T22:39:53.170Z,38.751667,-122.7121658,1.46,2.79,md,52,52,0.01403,0.07,nc,nc73540810,2021-03-23T02:51:07.764Z,"3km SW of Anderson Springs, CA",earthquake,0.16,0.28,0.13,42,automatic,nc,nc
2021-03-22T22:24:51.987Z,50.3822,155.073,145.36,4.8,mb,,117,3.18,0.73,us,us6000dvkj,2021-03-22T22:42:50.040Z,"81 km WSW of Severo-Kuril’sk, Russia",earthquake,10.4,6.8,0.03,338,reviewed,us,us
2021-03-22T19:51:25.065Z,-18.2881,-178.1853,548.33,4.5,mb,,115,3.958,0.81,us,us6000dvjq,2021-03-22T20:08:17.040Z,"265 km E of Levuka, Fiji",earthquake,6.8,8.9,0.044,148,reviewed,us,us
2021-03-22T18:15:29.584Z,-38.0059,176.6689,150.18,5,mb,,64,0.656,1.63,us,us6000dvit,2021-03-22T20:27:07.396Z,"10 km NNW of Kawerau, New Zealand",earthquake,6.4,5.6,0.115,24,reviewed,us,us
2021-03-22T17:41:47.647Z,59.8466,-153.3601,126.1,4.3,ml,,,,0.56,ak,ak0213q8wdal,2021-03-23T15:42:54.340Z,"42 km E of Pedro Bay, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2021-03-22T17:41:12.181Z,-27.4839,-178.3854,10,5,mb,,84,1.8,0.69,us,us6000dvis,2021-03-22T18:21:53.040Z,"Kermadec Islands region",earthquake,10.5,1.8,0.068,68,reviewed,us,us
2021-03-22T17:23:35.663Z,31.9536,92.9243,10,5,mb,,70,6.432,0.83,us,us6000dvi9,2021-03-22T17:44:22.040Z,"97 km ENE of Nagqu, China",earthquake,8.8,1.8,0.059,91,reviewed,us,us
2021-03-22T16:10:35.459Z,2.5887,128.6271,218.62,4.4,mb,,73,2.2,0.7,us,us7000dlm8,2021-03-22T16:57:26.040Z,"117 km NE of Tobelo, Indonesia",earthquake,5.2,7.8,0.074,53,reviewed,us,us
2021-03-22T14:51:51.449Z,31.5189,84.8399,10,4.5,mb,,142,8.555,0.62,us,us7000dllv,2021-03-22T15:37:20.040Z,"246 km N of Saga, China",earthquake,10.8,1.9,0.113,23,reviewed,us,us
2021-03-22T14:23:12.201Z,-37.6751,179.6392,10,5.1,mww,,211,1.064,0.84,us,us7000dllc,2021-03-22T14:59:51.040Z,"179 km NE of Gisborne, New Zealand",earthquake,11,2,0.078,16,reviewed,us,us
2021-03-22T13:04:32.857Z,-34.1394,-71.1405,68.41,4.4,mb,,113,0.255,0.4,us,us7000dll3,2021-03-23T01:53:12.651Z,"33 km N of San Vicente, Chile",earthquake,4.8,3,0.203,7,reviewed,us,us
2021-03-22T11:52:14.764Z,31.67741526,-104.4129626,6.74855957,2.5,ml,25,54,0.07537446537,0.3,tx,tx2021frbt,2021-03-23T07:15:05.040Z,"55 km S of Whites City, New Mexico",earthquake,0.9826409989,1.230150136,0.1,15,reviewed,tx,tx
2021-03-22T11:33:46.168Z,-17.8318,-175.3585,273.63,4.4,mb,,154,4.396,0.85,us,us7000dlkh,2021-03-22T12:20:49.040Z,"171 km WNW of Neiafu, Tonga",earthquake,12.9,12.6,0.126,18,reviewed,us,us
